district_code,fuel_id,reg_year,total_amount
11215,5,2023,4974
11215,6,2023,1069
11215,7,2023,60
11230,1,2023,50122
11230,2,2023,35658
11230,3,2023,7832
11230,4,2023,48
11230,5,2023,4690
11230,6,2023,1112
11230,7,2023,64
11260,1,2023,54982
11260,2,2023,42171
11260,3,2023,12616
11260,4,2023,342
11260,5,2023,4583
11260,6,2023,1457
11260,7,2023,53
11290,1,2023,64635
11290,2,2023,40754
11290,3,2023,8625
11290,4,2023,706
11290,5,2023,6258
11290,6,2023,1482
11290,7,2023,69
11305,1,2023,36892
11305,2,2023,26380
11305,3,2023,7336
11305,4,2023,629
11305,5,2023,2857
11305,6,2023,890
11305,7,2023,33
11320,1,2023,47278
11320,2,2023,32292
11320,3,2023,10568
11320,4,2023,330
11320,5,2023,3860
11320,6,2023,1093
11320,7,2023,35
11350,1,2023,79158
11350,2,2023,48128
11350,3,2023,15332
11350,4,2023,591
11350,5,2023,7407
11350,6,2023,1561
11350,7,2023,72
11380,1,2023,69975
11380,2,2023,42869
11380,3,2023,11765
11380,4,2023,672
11380,5,2023,6390
11380,6,2023,1533
11380,7,2023,123
11410,1,2023,48679
11410,2,2023,29135
11410,3,2023,7074
11410,4,2023,226
11410,5,2023,5062
11410,6,2023,1221
11410,7,2023,95
11440,1,2023,65150
11440,2,2023,40143
11440,3,2023,7238
11440,4,2023,270
11440,5,2023,7152
11440,6,2023,1776
11440,7,2023,171
11470,1,2023,79629
11470,2,2023,49079
11470,3,2023,12546
11470,4,2023,571
11470,5,2023,7881
11470,6,2023,1763
11470,7,2023,106
11500,1,2023,103351
11500,2,2023,68612
11500,3,2023,18440
11500,4,2023,342
11500,5,2023,11857
11500,6,2023,2867
11500,7,2023,219
11530,1,2023,71012
11530,2,2023,52586
11530,3,2023,12030
11530,4,2023,325
11530,5,2023,6756
11530,6,2023,5161
11530,7,2023,180
11545,1,2023,43002
11545,2,2023,36120
11545,3,2023,7203
11545,4,2023,390
11545,5,2023,4118
11545,6,2023,1033
11545,7,2023,50
11560,1,2023,73523
11560,2,2023,51478
11560,3,2023,8957
11560,4,2023,93
11560,5,2023,7819
11560,6,2023,2182
11560,7,2023,172
11590,1,2023,58663
11590,2,2023,32738
11590,3,2023,6604
11590,4,2023,50
11590,5,2023,6381
11590,6,2023,1203
11590,7,2023,110
